Methane	105.0	105.43
Ethane	100.5	101.80
Ethylene	110.9	111.13
Formaldehyde	88.0	88.20
Cyclopropane	106.3	109.52
Propane	100.9	102.13
Methanol	96.1	96.61
Trifluormethane	106.4	106.76
Cyclopentane	95.6	96.61
2-methylbutane	95.8	97.31
2,2-dimethylbutane	98.0	99.70
2,3-dimethylbutane	95.4	98.03
Cyclohexane	99.5	99.61
Cycloheptane	94.0	96.12
Cyclooctane	94.4	92.85
Adamantane(2)	98.4	100.85
Adamantane(3)	96.2	100.35
Methylamine	93.9	93.28
Acetaldehyde	94.3	95.51
DiethylEther	93.0	95.40
Tetrahydro-2H-pyran	96.0	96.31
Piperazine	93.0	93.42
Piperidine	89.5	92.14
Pyrrolidine	89.0	90.72
Tetrahydrofuran	92.1	93.59
Dioxane	96.5	97.42
Triethylamine	90.7	91.39
1,4-diazabicyclo[2.2.2]octane	93.4	98.54
Acetone	96.0	97.09
Acetonitrile	97.0	96.53
Dimethylamine	94.2	92.74
N,N-dimethylacetamide(acetyl)	91.4	100.14
Benzaldehyde	88.7	90.98
Toluene	89.7	91.91
BenzylAlcohol	79.0	83.91
Ethylbenzene	85.4	89.26
Indene	83.0	81.15
Morpholine	92.0	93.29
1,3-pentadiene	83.0	81.79
1,4-pentadiene	76.6	75.25
