Methane	105.0	105.39
Ethane	100.5	101.69
Ethylene	110.9	110.61
Formaldehyde	88.0	89.08
Cyclopropane	106.3	109.26
Propane	100.9	101.96
Methanol	96.1	96.87
Trifluormethane	106.4	107.43
Trichloromethane	93.8	93.82
Cyclopentane	95.6	96.49
2-methylbutane	95.8	97.31
2,2-dimethylbutane	98.0	99.43
2,3-dimethylbutane	95.4	97.89
Cyclohexane	99.5	99.41
Cycloheptane	94.0	96.02
Cyclooctane	94.4	92.65
Adamantane(2)	98.4	100.55
Adamantane(3)	96.2	99.94
Methylamine	93.9	93.42
Acetaldehyde	94.3	95.26
Diethylether	93.0	95.60
Tetrahydro-2H-pyran	96.0	96.63
Piperazine	93.0	93.56
Piperidine	89.5	92.27
Pyrrolidine	89.0	90.78
Tetrahydrofuran	92.1	93.92
Dioxane	96.5	97.66
Triethylamine	90.7	91.28
1,4-diazabicyclo[2.2.2]octane	93.4	98.95
Acetone	96.0	96.21
Acetonitrile	97.0	96.18
Dimethylsulfoxide	94.0	102.26
Dimethylamine	94.2	92.89
N,N-dimethylacetamide(acetyl)	91.4	99.47
Cyclohexadiene	76.0	74.33
Benzaldehyde	88.7	91.54
Toluene	89.7	90.60
BenzylAlcohol	79.0	84.31
Ethylbenzene	85.4	88.59
Cumene	83.2	87.93
Dihydroanthracene	76.3	80.87
Diphenylmethane	84.5	85.30
Benzene	112.9	115.44
Dibenzylether	85.8	84.29
Fluorene	82.0	83.61
Indene	83.0	80.37
Morpholine	92.0	93.40
1,3-pentadiene	83.0	80.87
1,4-pentadiene	76.6	74.23
