1,3-pentadiene	83.0	82.2
1,4-diazabicyclo[2.2.2]octane	93.4	98.9
1,4-pentadiene	76.6	76.0
2,2-dimethylbutane	98.0	99.1
2,3-dimethylbutane	95.4	97.7
2-methylbutane	95.8	97.2
Acetaldehyde	94.3	95.3
Acetone	96.0	96.4
Acetonitrile	97.0	96.6
Adamantane2	98.4	100.9
Adamantane3	96.2	100.3
Benzaldehyde	88.7	90.9
Benzene	112.9	112.7
BenzylAlcohol	79.0	84.4
Cumene	83.2	87.9
Cycloheptane	94.0	96.0
Cyclohexadiene	76.0	76.2
Cyclohexane	99.5	99.1
Cyclooctane	94.4	92.6
Cyclopentane	95.6	96.1
Cyclopropane	106.3	108.5
DibenzylEther	85.8	83.6
DiethylEther	93.0	95.1
Dihydroanthracene	76.3	80.4
Dimethylamine	94.2	92.4
Dimethylsulfoxide	94.0	101.7
Dioxane	96.5	97.3
Diphenylmethane	84.5	84.1
Ethane	100.5	99.3
Ethylbenzene	85.4	88.3
Ethylene	110.9	110.3
Fluorene	82.0	82.4
Formaldehyde	88.0	88.0
Indene	83.0	80.6
Methane	105.0	104.4
Methanol	96.1	96.0
Methylamine	93.9	92.8
Morpholine	92.0	93.4
N,N-dimethylacetamide(acetyl)	91.4	99.4
Piperazine	93.0	93.5
Piperidine	89.5	92.2
Propane	100.9	101.3
Pyrrolidine	89.0	90.6
Tetrahydro-2H-pyran	96.0	96.2
Tetrahydrofuran	92.1	93.3
Toluene	89.7	90.1
Trichloromethane	93.8	93.4
Triethylamine	90.7	91.4
Trifluormethane	106.4	106.6
