Methane	105.0	105.21
Ethane	100.5	101.53
Ethylene	110.9	110.93
Formaldehyde	88.0	88.93
Cyclopropane	106.3	109.17
Propane	100.9	101.80
Methanol	96.1	96.76
Trifluormethane	106.4	107.40
Trichloromethane	93.8	93.71
Cyclopentane	95.6	96.31
2-methylbutane	95.8	97.12
2,2-dimethylbutane	98.0	99.25
2,3-dimethylbutane	95.4	97.76
Cyclohexane	99.5	99.25
Cycloheptane	94.0	95.83
Cyclooctane	94.4	92.44
Adamantane(2)	98.4	100.38
Adamantane(3)	96.2	99.88
Methylamine	93.9	93.35
Acetaldehyde	94.3	95.68
DiethylEther	93.0	95.50
Tetrahydro-2H-pyran	96.0	96.54
Piperazine	93.0	93.48
Piperidine	89.5	92.19
Pyrrolidine	89.0	90.69
Tetrahydrofuran	92.1	93.80
Dioxane	96.5	97.56
Triethylamine	90.7	91.18
1,4-diazabicyclo[2.2.2]octane	93.4	98.84
Acetone	96.0	96.69
Acetonitrile	97.0	96.61
Dimethylsulfoxide	94.0	102.25
Dimethylamine	94.2	92.82
N,N-dimethylacetamide(acetyl)	91.4	99.45
Cyclohexadiene	76.0	75.05
Benzaldehyde	88.7	91.42
Toluene	89.7	89.74
BenzylAlcohol	79.0	83.17
Ethylbenzene	85.4	87.65
Cumene	83.2	86.90
Dihydroanthracene	76.3	78.13
Diphenylmethane	84.5	82.78
Benzene	112.9	113.04
DibenzylEther	85.8	82.68
Fluorene	82.0	81.92
Indene	83.0	80.10
Morpholine	92.0	93.32
1,3-pentadiene	83.0	81.68
1,4-pentadiene	76.6	75.04
