Methane	104.95	105.43
Ethane	101.34	101.80
Ethylene	110.84	111.13
Formaldehyde	88.58	88.20
Cyclopropane	108.97	109.52
Propane	101.64	102.13
Methanol	96.41	96.61
Trifluormethane	107.20	106.76	
Cyclopentane	96.34	96.61
2-methylbutane	97.34	97.31
2,2-dimethylbutane	99.30	99.70
2,3-dimethylbutane	97.75	98.03
Cyclohexane	99.19	99.61
Methylamine	93.07	93.28
Acetaldehyde	95.85	95.51
DiethylEther	95.28	95.40
Tetrahydro-2H-pyran	96.31	96.31
Piperazine	93.40	93.42
Piperidine	92.15	92.14
Pyrrolidine	90.76	90.72
Tetrahydrofuran	93.65	93.59
Dioxane	97.34	97.42
Acetone	96.89	97.09
Acetonitrile	96.91	96.53
Dimethylamine	92.61	92.74
N,N-dimethylacetamide(acetyl)	99.62	100.14
Toluene	90.53	91.91
1,3-pentadiene	82.88	81.79
1,4-pentadiene	76.24	75.25
